pilots,sigma,quantile,scenario,gas,bias_ratio,sd_ratio,rmse_ratio
30000,0.0,0.5,matched,O3,-2.6744246849795782e-14,1.2496626317936006,1.2496626317936006
30000,0.0,0.5,matched,SO2,1.4252446865286328e-14,0.5819828456610733,0.5819828456610733
30000,0.0,0.5,matched,NO2,-2.774791163883828e-13,12.132916905442903,12.132916905442903
30000,0.0,0.5,temperature_plus_5K,CO,-0.4076092918798928,0.09942040004595361,0.41955899558003173
30000,0.0,0.5,temperature_plus_5K,O3,1.72429506185825,1.2496626317936006,2.1295187610467425
30000,0.0,0.5,temperature_plus_5K,SO2,-2.9344256867656355,0.5819828456610733,2.991581211298422
30000,0.0,0.5,temperature_plus_5K,NO2,-5.474945795192966,12.132916905442903,13.31099936498696
30000,0.0,0.5,pressure_minus_2000Pa,CO,-0.02491461966287578,0.09942040004595361,0.1024946545837548
30000,0.0,0.5,pressure_minus_2000Pa,O3,-0.835535602738213,1.2496626317936006,1.5032552799655876
30000,0.0,0.5,pressure_minus_2000Pa,SO2,-1.0053757297471773,0.5819828456610733,1.1616730997180016
30000,0.0,0.5,pressure_minus_2000Pa,NO2,-2.7176268879807974,12.132916905442903,12.433550117993589
30000,0.0,0.5,height_1200m,CO,-0.05186353733104673,0.09942040004595361,0.11213492965970207
30000,0.0,0.5,height_1200m,O3,-0.11614483903514422,1.2496626317936006,1.255048332509871
30000,0.0,0.5,height_1200m,SO2,-0.04840453165436405,0.5819828456610733,0.58399232129236
30000,0.0,0.5,height_1200m,NO2,-0.33111468863126686,12.132916905442903,12.13743422521455
30000,0.0,0.5,combined,CO,-0.4732310461358811,0.09942040004595361,0.4835618253875691
30000,0.0,0.5,combined,O3,0.7776508136950078,1.2496626317936006,1.4718687038393798
30000,0.0,0.5,combined,SO2,-3.8743278178651934,0.5819828456610733,3.917795307686178
30000,0.0,0.5,combined,NO2,-8.37875821710481,12.132916905442903,14.74487239331299
30000,0.0,0.95,matched,CO,2.5656218844033984e-15,0.09942040004595361,0.09942040004595361
30000,0.0,0.95,matched,O3,3.4464129642647026e-14,1.2496626317936006,1.2496626317936006
30000,0.0,0.95,matched,SO2,-2.036191090575987e-14,0.5819828456610733,0.5819828456610733
30000,0.0,0.95,matched,NO2,2.3630336924813546e-14,12.132916905442903,12.132916905442903
30000,0.0,0.95,temperature_plus_5K,CO,-0.4236626713425271,0.09942040004595361,0.43517177646807886
30000,0.0,0.95,temperature_plus_5K,O3,1.6697500503643923,1.2496626317936006,2.085598696775868
30000,0.0,0.95,temperature_plus_5K,SO2,-2.9788033170628427,0.5819828456610733,3.035123265106107
30000,0.0,0.95,temperature_plus_5K,NO2,-5.679028073921252,12.132916905442903,13.396232026161979
30000,0.0,0.95,pressure_minus_2000Pa,CO,-0.0178760730780399,0.09942040004595361,0.10101470157352778
30000,0.0,0.95,pressure_minus_2000Pa,O3,-0.823030827759018,1.2496626317936006,1.4963410161935022
30000,0.0,0.95,pressure_minus_2000Pa,SO2,-0.9908686265392364,0.5819828456610733,1.1491408389329452
